Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23015-il-1000000
Airfoil,naca23015-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,90.9524
Max Cl/Cd alpha,10
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23015-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.750,-1.1076,0.01798,0.01237,-0.0217,0.9999,0.0328
-11.500,-1.0846,0.01767,0.01204,-0.0209,0.9999,0.0337
-11.250,-1.0611,0.01738,0.01171,-0.0202,0.9999,0.0345
-11.000,-1.0391,0.01694,0.01123,-0.0193,0.9999,0.0353
-10.750,-1.0167,0.01652,0.01083,-0.0184,0.9999,0.0362
-10.500,-0.9923,0.01628,0.01060,-0.0178,0.9999,0.0371
-10.250,-0.9679,0.01603,0.01034,-0.0172,0.9999,0.0381
-10.000,-0.9435,0.01579,0.01007,-0.0165,0.9999,0.0389
-9.750,-0.9192,0.01554,0.00978,-0.0159,0.9999,0.0396
-9.500,-0.8978,0.01500,0.00926,-0.0148,0.9999,0.0407
-9.250,-0.8741,0.01477,0.00905,-0.0141,0.9999,0.0416
-9.000,-0.8512,0.01456,0.00884,-0.0131,0.9999,0.0425
-8.750,-0.8293,0.01435,0.00862,-0.0120,0.9999,0.0434
-8.500,-0.8080,0.01420,0.00845,-0.0107,0.9999,0.0442
-8.250,-0.7894,0.01392,0.00815,-0.0090,0.9999,0.0450
-8.000,-0.7605,0.01347,0.00772,-0.0093,0.9986,0.0463
-7.750,-0.7274,0.01319,0.00745,-0.0104,0.9968,0.0474
-7.500,-0.6939,0.01292,0.00719,-0.0114,0.9951,0.0487
-7.250,-0.6598,0.01268,0.00694,-0.0126,0.9936,0.0498
-7.000,-0.6274,0.01233,0.00657,-0.0135,0.9909,0.0509
-6.750,-0.5965,0.01190,0.00616,-0.0141,0.9861,0.0525
-6.500,-0.5642,0.01164,0.00591,-0.0149,0.9815,0.0538
-6.250,-0.5362,0.01142,0.00568,-0.0148,0.9718,0.0551
-6.000,-0.5094,0.01124,0.00549,-0.0143,0.9606,0.0562
-5.750,-0.4841,0.01107,0.00529,-0.0136,0.9477,0.0573
-5.500,-0.4600,0.01076,0.00496,-0.0126,0.9337,0.0592
-5.250,-0.4350,0.01058,0.00476,-0.0118,0.9190,0.0608
-5.000,-0.4092,0.01043,0.00457,-0.0112,0.9031,0.0624
-4.750,-0.3828,0.01031,0.00440,-0.0107,0.8868,0.0640
-4.500,-0.3565,0.01012,0.00416,-0.0102,0.8699,0.0664
-4.250,-0.3300,0.00997,0.00397,-0.0097,0.8501,0.0691
-4.000,-0.3033,0.00988,0.00381,-0.0093,0.8279,0.0717
-3.750,-0.2764,0.00977,0.00363,-0.0089,0.8056,0.0757
-3.500,-0.2491,0.00966,0.00347,-0.0086,0.7835,0.0816
-3.250,-0.2220,0.00947,0.00331,-0.0084,0.7632,0.0978
-3.000,-0.1966,0.00886,0.00302,-0.0081,0.7446,0.1936
-2.750,-0.1720,0.00807,0.00276,-0.0078,0.7266,0.3447
-2.500,-0.1452,0.00778,0.00265,-0.0076,0.7066,0.4114
-2.250,-0.1179,0.00760,0.00258,-0.0075,0.6860,0.4613
-2.000,-0.0903,0.00748,0.00252,-0.0074,0.6660,0.4993
-1.750,-0.0626,0.00739,0.00248,-0.0072,0.6446,0.5355
-1.500,-0.0350,0.00732,0.00244,-0.0071,0.6217,0.5706
-1.250,-0.0074,0.00726,0.00242,-0.0070,0.5994,0.6075
-0.750,0.0481,0.00719,0.00242,-0.0067,0.5585,0.6742
-0.500,0.0759,0.00719,0.00243,-0.0066,0.5377,0.7004
-0.250,0.1038,0.00721,0.00244,-0.0065,0.5163,0.7244
0.000,0.1317,0.00725,0.00247,-0.0063,0.4955,0.7467
0.250,0.1593,0.00728,0.00250,-0.0062,0.4761,0.7716
0.500,0.1871,0.00733,0.00254,-0.0060,0.4569,0.7920
0.750,0.2146,0.00738,0.00259,-0.0058,0.4378,0.8135
1.000,0.2419,0.00745,0.00265,-0.0056,0.4181,0.8350
1.250,0.2693,0.00755,0.00271,-0.0053,0.3982,0.8515
1.500,0.2967,0.00765,0.00277,-0.0051,0.3798,0.8666
1.750,0.3240,0.00776,0.00284,-0.0049,0.3625,0.8816
2.000,0.3507,0.00786,0.00292,-0.0045,0.3459,0.8965
2.250,0.3772,0.00798,0.00301,-0.0041,0.3299,0.9104
2.500,0.4036,0.00812,0.00309,-0.0037,0.3138,0.9237
2.750,0.4296,0.00826,0.00319,-0.0032,0.2980,0.9371
3.000,0.4550,0.00841,0.00328,-0.0025,0.2834,0.9491
3.250,0.4812,0.00853,0.00336,-0.0021,0.2716,0.9600
3.500,0.5082,0.00866,0.00345,-0.0018,0.2614,0.9704
3.750,0.5371,0.00883,0.00356,-0.0019,0.2515,0.9786
4.000,0.5686,0.00897,0.00367,-0.0026,0.2441,0.9844
4.250,0.6011,0.00916,0.00381,-0.0036,0.2363,0.9887
4.500,0.6336,0.00934,0.00396,-0.0045,0.2305,0.9927
4.750,0.6681,0.00951,0.00411,-0.0059,0.2251,0.9941
5.000,0.7021,0.00974,0.00429,-0.0072,0.2182,0.9956
5.250,0.7362,0.00991,0.00445,-0.0085,0.2137,0.9973
5.500,0.7700,0.01008,0.00461,-0.0097,0.2094,0.9991
5.750,0.7992,0.01026,0.00476,-0.0101,0.2047,1.0001
6.000,0.8202,0.01041,0.00488,-0.0089,0.1997,1.0001
6.250,0.8432,0.01047,0.00495,-0.0080,0.1971,1.0001
6.500,0.8667,0.01057,0.00505,-0.0073,0.1935,1.0001
6.750,0.8907,0.01073,0.00518,-0.0067,0.1894,1.0001
7.000,0.9150,0.01097,0.00538,-0.0061,0.1843,1.0001
7.250,0.9411,0.01107,0.00550,-0.0058,0.1816,1.0001
7.500,0.9671,0.01122,0.00565,-0.0056,0.1778,1.0001
7.750,0.9928,0.01142,0.00583,-0.0053,0.1735,1.0001
8.000,1.0183,0.01167,0.00606,-0.0050,0.1691,1.0001
8.250,1.0448,0.01180,0.00622,-0.0049,0.1663,1.0001
8.500,1.0708,0.01199,0.00641,-0.0047,0.1626,1.0001
8.750,1.0962,0.01224,0.00663,-0.0044,0.1581,1.0001
9.000,1.1218,0.01247,0.00687,-0.0042,0.1543,1.0001
9.250,1.1476,0.01266,0.00707,-0.0039,0.1504,1.0001
9.500,1.1726,0.01292,0.00731,-0.0036,0.1452,1.0001
9.750,1.1975,0.01318,0.00757,-0.0033,0.1404,1.0001
10.000,1.2224,0.01344,0.00782,-0.0030,0.1351,1.0001
10.250,1.2462,0.01378,0.00813,-0.0026,0.1291,1.0001
10.500,1.2704,0.01406,0.00842,-0.0022,0.1232,1.0001
10.750,1.2933,0.01445,0.00877,-0.0016,0.1164,1.0001
11.000,1.3157,0.01485,0.00915,-0.0010,0.1092,1.0001
11.250,1.3375,0.01527,0.00955,-0.0003,0.1024,1.0001
11.500,1.3579,0.01578,0.01003,0.0005,0.0954,1.0001
11.750,1.3778,0.01630,0.01052,0.0015,0.0892,1.0001
12.000,1.3972,0.01680,0.01102,0.0025,0.0839,1.0001
12.250,1.4146,0.01741,0.01161,0.0037,0.0788,1.0001
12.500,1.4329,0.01791,0.01213,0.0049,0.0750,1.0001
12.750,1.4480,0.01857,0.01278,0.0065,0.0711,1.0001
13.000,1.4636,0.01914,0.01338,0.0080,0.0683,1.0001
13.250,1.4752,0.01979,0.01405,0.0101,0.0656,1.0001
13.500,1.4811,0.02065,0.01494,0.0129,0.0630,1.0001
13.750,1.4918,0.02137,0.01571,0.0150,0.0613,1.0001
14.000,1.5017,0.02221,0.01659,0.0169,0.0595,1.0001
14.250,1.5095,0.02325,0.01766,0.0188,0.0577,1.0001
14.500,1.5141,0.02457,0.01902,0.0208,0.0559,1.0001
14.750,1.5250,0.02555,0.02007,0.0221,0.0549,1.0001
15.000,1.5338,0.02674,0.02132,0.0233,0.0538,1.0001
15.250,1.5405,0.02814,0.02278,0.0245,0.0527,1.0001
15.500,1.5450,0.02983,0.02452,0.0256,0.0516,1.0001
15.750,1.5460,0.03193,0.02668,0.0265,0.0504,1.0001
16.000,1.5477,0.03410,0.02893,0.0271,0.0495,1.0001
16.250,1.5540,0.03592,0.03083,0.0275,0.0487,1.0001
16.500,1.5578,0.03806,0.03305,0.0276,0.0479,1.0001
16.750,1.5586,0.04061,0.03568,0.0276,0.0470,1.0001
17.000,1.5564,0.04360,0.03875,0.0274,0.0462,1.0001
17.250,1.5504,0.04712,0.04235,0.0268,0.0456,1.0001
17.500,1.5399,0.05135,0.04667,0.0259,0.0449,1.0001
17.750,1.5239,0.05647,0.05191,0.0244,0.0443,1.0001
18.000,1.5142,0.06086,0.05641,0.0231,0.0440,1.0001
18.250,1.5045,0.06537,0.06104,0.0217,0.0436,1.0001
18.500,1.4921,0.07034,0.06612,0.0200,0.0433,1.0001
18.750,1.4758,0.07591,0.07181,0.0180,0.0429,1.0001
19.000,1.4587,0.08167,0.07769,0.0158,0.0426,1.0001
19.250,1.4393,0.08789,0.08402,0.0133,0.0423,1.0001
